"","PA.#","PA.Name","Total.GW.AG","Total.GW.Urban","Total.GW.MW","Total.GW.Use","Total.Supply.AG.(includes.Reuse)","Total.Supply.Urban.(includes.Reuse)","Total.Supply.MW.(includes.Reuse)","Year","Region"
"1",101,"Upper Klamath",153.2,7.8,2.7,163.7,452.2,11.6,199.3,"2005",NA
"2",102,"Lower Klamath",9.6,5.3,0,14.9,19.5,11.4,0,"2005",NA
"3",103,"Coastal",43.8,18.6,0,62.4,56.2,47,0,"2005",NA
"4",104,"Russian River",24.9,32.3,0,57.2,58.4,83.1,0,"2005",NA
"5",201,"North Bay",28.1,13.3,0,41.4,63.7,152.8,0.7,"2005","San Francisco Bay Area"
"6",202,"South Bay",24.3,185.2,0,209.5,25.3,1072.5,1,"2005","San Francisco Bay Area"
"7",301,"Northern",494.4,104.7,0,599.1,560.9,133.8,0.4,"2005","Central Coast"
"8",302,"Southern",303.8,73.8,0,377.6,337.5,134.6,0,"2005","Central Coast"
"9",401,"Santa Clara",2.2,50.8,0,53,260.4,295.1,0,"2005","Southern California"
"10",402,"Metropolitan LA",2.8,604.6,0,607.4,4.9,1835.5,25.8,"2005","Southern California"
"11",403,"Santa Ana",114.9,372.6,0,487.5,124.6,1066.2,5.4,"2005","Southern California"
"12",404,"San Diego",17.2,72.5,0,89.7,223.8,712.2,1,"2005","Southern California"
"13",501,"Shasta - Pit",70.4,11.5,0,81.9,286.8,16.7,14.1,"2005","Sacramento River Region"
"14",502,"Upper Northwest Valley",1.3,0.4,0,1.7,8.5,0.6,0,"2005","Sacramento River Region"
"15",503,"Lower Northwest Valley",225.7,44.9,0,270.6,435.1,61.1,0.2,"2005","Sacramento River Region"
"16",504,"Northeast Valley",152.7,40.3,0,193,268.3,78,1,"2005","Sacramento River Region"
"17",505,"Southwest",35.9,6,0,41.9,47.1,10,0,"2005","Sacramento River Region"
"18",506,"Colusa Basin",443.1,12.1,8.7,463.9,1901.1,12.1,169.9,"2005","Sacramento River Region"
"19",507,"Butte - Sutter - Yuba",465.7,44.4,13.4,523.5,2265,62.8,183.6,"2005","Sacramento River Region"
"20",508,"Southeast",39.9,21.1,0,61,318.6,122.2,2,"2005","Sacramento River Region"
"21",509,"Central Basin West",406.9,31.4,0,438.3,707.1,54.2,0,"2005","Sacramento River Region"
"22",510,"Sacramento Delta",14.1,2.1,0,16.2,417.4,20.6,54.2,"2005","Delta Region"
"23",511,"Central Basin East",187.3,166.4,0,353.7,442.7,377.6,1.7,"2005","Sacramento River Region"
"24",601,"Upper West Side Uplands",20.3,15.6,0,35.9,26.7,47.7,0,"2005","San Joaquin Valley"
"25",602,"San Joaquin Delta",0,33.1,0,33.1,820,77.2,1.8,"2005","Delta Region"
"26",603,"Eastern Valley Floor",312.5,63.4,0.8,376.7,591.9,127.2,0.8,"2005","Delta Eastside Tributaries"
"27",604,"Sierra Foothills",0.2,1.3,0,1.5,12.4,48.9,0,"2005","Delta Eastside Tributaries"
"28",605,"West Side Uplands",0,0,0,0,0,0,0,"2005","San Joaquin Valley"
"29",606,"Valley West Side",269.6,25.9,176.3,471.8,1319.5,29.1,408.5,"2005","San Joaquin Valley"
"30",607,"Upper Valley East Side",81.9,150.1,0,232,833.3,150.1,0,"2005","San Joaquin Valley"
"31",608,"Middle Valley East Side",138.9,78.2,0,217.1,892.5,78.2,0,"2005","San Joaquin Valley"
"32",609,"Lower Valley East Side",863.5,92.1,10.2,965.8,1847.7,92.2,46.7,"2005","San Joaquin Valley"
"33",610,"East Side Uplands",2.3,15,0,17.3,2.3,15,0,"2005","San Joaquin Valley"
"34",701,"Western Uplands",0.3,2,0,2.3,0.3,2,0,"2005","San Joaquin Valley"
"35",702,"San Luis West Side",220,8.5,0,228.5,1283.6,19,0,"2005","San Joaquin Valley"
"36",703,"Lower Kings-Tulare",931.8,40.8,0,972.6,1835.1,40.8,34.5,"2005","San Joaquin Valley"
"37",704,"Fresno - Academy",10.3,191.7,0,202,505.6,267.1,0,"2005","San Joaquin Valley"
"38",705,"Alta - Orange Cove",165,53,0,218,815.8,54.9,0,"2005","San Joaquin Valley"
"39",706,"Kaweah Delta",730.1,109,2.8,841.9,2237.2,111.3,2.8,"2005","San Joaquin Valley"
"40",707,"Uplands",22.1,12.6,0,34.7,23.7,17.9,0,"2005","San Joaquin Valley"
"41",708,"Semitropic - Buena Vista",370.8,2.5,23.1,396.4,1040.7,8,43,"2005","San Joaquin Valley"
"42",709,"Kern Valley Floor",277.1,29.1,0,306.2,697,29.1,0,"2005","San Joaquin Valley"
"43",710,"Kern Delta",197.9,103.1,0,301,1428.5,156.2,0,"2005","San Joaquin Valley"
"44",801,"Lassen",102.8,16.9,6.3,126,237.7,20,16.6,"2005",NA
"45",802,"Alpine",0.7,15.2,0,15.9,144,20.2,0,"2005",NA
"46",901,"Mono-Owens",102.8,9.1,0,111.9,143.5,10.6,0,"2005","Southern California"
"47",902,"Indian Wells",8.5,18,0,26.5,8.5,18.4,0,"2005","Southern California"
"48",903,"Death Valley",9.1,4.1,0,13.2,9.1,4.1,0,"2005","Southern California"
"49",904,"Antelope Valley",62.1,24.8,0,86.9,72.2,116.9,0,"2005","Southern California"
"50",905,"Mojave River",51.2,93.9,0,145.1,83,120,0,"2005","Southern California"
"51",1001,"Twenty-Nine Palms - Lanfair",9.8,14.5,0,24.3,9.8,14.5,0,"2005","Southern California"
"52",1002,"Coachella",20,351.2,0,371.2,249.4,562.4,0,"2005","Southern California"
"53",1003,"Chuckwalla",2.4,2.2,0,4.6,2.4,2.3,0,"2005","Southern California"
"54",1004,"Colorado River",0.2,9.3,0,9.5,622.8,12.2,0,"2005","Southern California"
"55",1005,"Borrego",13.3,6.3,0,19.6,41,6.7,0,"2005","Southern California"
"56",1006,"Imperial Valley",0,0.1,0,0.1,2518.3,115.8,30.3,"2005","Southern California"
"57",101,"Upper Klamath",197.7,7.4,2.4,207.5,588.1,11.3,329.9,"2006",NA
"58",102,"Lower Klamath",7.7,6,0,13.7,28.4,12.6,0,"2006",NA
"59",103,"Coastal",74.9,18.2,0,93.1,96.9,48.8,0,"2006",NA
"60",104,"Russian River",50.6,23,0,73.6,77.3,68.3,0,"2006",NA
"61",201,"North Bay",57.6,16.7,0,74.3,80,146.6,0.7,"2006","San Francisco Bay Area"
"62",202,"South Bay",20.9,151.9,0,172.8,26.1,985.5,0,"2006","San Francisco Bay Area"
"63",301,"Northern",455.8,153.5,0,609.3,500.4,182.9,0.4,"2006","Central Coast"
