,,,,,,,,,,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF
,,,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Water Used,,,Applied,,Applied,Applied,Applied,,,,,,,,,,,,,
,Type,,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Applied Water,Urban,,546.4,604.4,653.5,677.4,683.6,787.2,847,706.2,740,807.8,793,725,667.6,569.6,599.4,584.5,596.7,468.1
,Large Landscape,,16.1,17.4,19.2,19.8,20.5,22.9,24.5,20.8,21.3,23.3,22.7,20.6,19.3,16.3,16.8,16.8,17.1,13.5
,Commercial,,37.5,41.3,44.6,46.4,47.9,53.7,57.3,49.2,50.1,54,53.7,48.6,44.9,38.6,40.2,39.7,40.4,31.7
,Industrial,,53.5,59.3,63.8,66.4,68,76.9,82,70.2,72.1,77.8,76.7,69.8,64.9,55.2,56.3,56.6,57.8,44.9
,Energy Production,,0,0,0,0,0,0,0,0,17.4,17.7,19.3,16.7,17.2,15.2,15,14.1,16.1,16.4
,Residential - Interior,,208.6,231.5,248.8,259,267.6,300.8,320.6,275.5,282.5,302,301.6,273.5,254.6,216.2,225.3,222.5,226.5,175.6
,Residential - Exterior,,219.4,242.3,261.4,272.5,279.1,315.6,334.8,287.9,295,317.6,315.7,286.8,266.5,226.8,235.2,233.5,237.9,184.9
,Conveyance Applied Water,,10.6,11.7,12.8,13.3,0,15.2,16.1,0,0,0,0,0,0,0,0,0,0,0
,Groundwater Recharge Applied Water ,,0.7,0.9,2.9,0,0.5,2.1,11.7,2.6,1.6,15.4,3.3,9,0.2,1.3,10.6,1.3,0.9,1.1
,,,,,,,,,,,,,,,,,,,,
Applied Water,Irrigated Agriculture,,8566.8,10921.4,10802.6,10566.7,10917.2,10436.5,11005.5,9944.1,10530.1,11149.9,11438.5,11667.8,10663.1,11618.6,12127.2,11662.8,11575.6,11226.1
,Applied Water - Crop Production,,7006.6,9786.3,9677.3,9933.6,10424.6,9704.8,10500.3,8695.4,9278.9,10559.8,11133.9,11365.6,9825.6,10095.9,11688,11425.8,11302.8,11138.5
,Conveyance Applied Water,,735.4,783.2,797,590.5,403.4,467.3,346.2,645.8,611.2,407.2,296.8,302.2,475.3,683.9,364.3,208.8,140.9,87.6
,Groundwater Recharge Applied Water ,,824.8,351.9,328.3,42.6,89.2,264.4,159,602.9,640,182.9,7.8,0,362.2,838.8,74.9,28.2,131.9,0
Dedicated ,Environmental Water,,3267.9,1223.1,1404.8,1040.4,1140.2,1505.9,1222.7,2365,2833.7,746.9,1305.9,1341.6,2094.3,3185.9,745.2,618.4,602.2,379.1
,Managed Wetlands,,62.9,72.6,73.7,76.3,120.9,119.3,124.1,80.3,76.4,78.6,78.3,77.5,77.6,84.8,92.8,93.7,95.8,91.8
,Minimum Req'd Delta Outflow,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Min. Instream Flow Requirements,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0
,Wild & Scenic R.,,3205,1150.5,1331.1,964.1,1019.3,1386.6,1098.6,2284.7,2757.3,668.3,1227.6,1264.1,2016.7,3101.1,650.7,524.7,506.4,287.3
,Total Uses,,12381.1,12748.9,12860.9,12284.5,12741,12729.6,13075.2,13015.3,14103.8,12704.6,13537.4,13734.4,13425,15374.1,13471.8,12865.7,12774.5,12073.3
,,,,,,,,,,,,,,,,,,,,
Water Uses,Urban,,197.7,219.4,236.1,245.8,239.5,285.5,302.6,246.3,253.3,271.1,276.7,244.7,227.9,193.6,200.8,199.6,203.4,158
Depleted,Irrigated Agriculture,,6071.6,8163.3,8104.8,8159.6,8127.9,7780.9,8309.9,6951.5,7537.4,8340.3,8768.2,8839.5,7844.9,9187.9,10344,10112.3,10148.7,9900
,Managed Wetlands,,32.7,38.3,41.4,38.8,61.6,57.8,65.8,55,49.2,59,60.4,55.5,51.3,48.6,57,61,63.9,57.6
,Req Delta Outflow,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Instream Flow,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Wild & Scenic R.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Total Uses,,6302,8421,8382.3,8444.2,8429,8124.2,8678.3,7252.8,7839.9,8670.4,9105.3,9139.7,8124.1,9430.1,10601.8,10372.9,10416,10115.6
,,,,,,,,,,,,,,,,,,,,
Surface Water,  Local Deliveries,,"3,622","2,257","2,397","1,698","1,658","1,922","1,618","2,994.50",3374.9,"1,511",2056.3,1928.1,2784.7,"4,313.30",1921,1067.2,886.4,519.5
,  Local Deliveries -  instream,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,  Local Imported Deliveries,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,  Colorado River Deliveries,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,  CVP Base and Project Deliveries,,"1,811","2,567","2,280","1,788","1,896","2,175","1,977","2,748.50",2575.1,"1,849",1403.1,1313.8,2020.7,"2,497.90",1737.6,1135.8,571.6,355.6
,  CVP Base - instream,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,  Other Federal Deliveries,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,  SWP Deliveries,,"1,035","1,661","1,915",849,948,"1,048","1,021","1,403.50",1727.2,"1,223",377.3,434.4,979.3,"1,582.20",1245.9,618.7,419,305.5
,  Water from Refineries,,,,,,,,,,0,0,0,0,0,31,0,31,0,31
,,,,,,,,,,,,,,,,,,,,
Groundwater,  Net Extraction,,-163,"1,938","1,792","4,111","3,927","2,979","4,005",106.3,162.7,"4,088",5268.6,5463.4,2339.4,"1,005.70",5697.3,7520.2,8539,8904
,  Deep Percolation,,"2,871","3,176","3,145","2,874","3,216","3,141","3,183","3,397.30",3425.7,"3,283",3128.6,3247.8,3197.8,"2,764.70",2141.4,1889.9,1776.5,1592.2
,  Return Flow for Carryover storage,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reuse/Recycle,  Reuse Surface Water,,"3,205","1,151","1,331",964,"1,096","1,464","1,214","2,365.20",2838.2,751,1303.5,1346.9,2103.1,"3,179.30",728.6,602.9,582,365.5
,  Recycled Water,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,  Inflow drainage,,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0
,  Desalination,,0,0,0,0,0, -   ,0,0,0,0,0,0,0,0,0,0,0,0
Water Supply,,,1998,1999,2000,2001,2002,2003,2004,,,,,,2010,2011,2012,2013,2014,2015
,Instream Environmental Supply,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Local Projects,,"3,622","2,257","2,397","1,698","1,658","1,922","1,618",2994.5,3374.9,1511.3,2056.3,1928.1,2784.7,4313.3,1921,1067.2,886.4,519.5
,Local Imported Deliveries,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Colorado River Project,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Federal Projects,,"1,811","2,567","2,280","1,788","1,896","2,175","1,977",2748.5,2575.1,1848.6,1403.1,1313.8,2020.7,2497.9,1737.6,1135.8,571.6,355.6
,State Project,,"1,035","1,661","1,915",849,948,"1,048","1,021",1403.5,1727.2,1222.7,377.3,434.4,979.3,1582.2,1245.9,618.7,419,305.5
,Water from Refineries,,,,,,,,,,,,,,,31,,31,,31
,Ground Water Extraction,,"2,708","5,114","4,937","6,985","7,144","6,120","7,187",3503.6,3588.4,7370.9,8397.2,8711.2,5537.2,3770.4,7838.7,9410.1,10315.5,10496.2
,Inflow & Return Flow for Carryover Storage,,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0
,Reuse ,,"3,205","1,151","1,331",964,"1,096","1,464","1,214",2365.2,2838.2,751.1,1303.5,1346.9,2103.1,3179.3,728.6,602.9,582,365.5
,Recycled Water,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Reuse and Recycled,,"3,205","1,151","1,331",964,"1,096","1,464","1,214",,,,,,,3179.3,728.6,602.9,582,365.5
,Total Supplies,,"12,381","12,749","12,861","12,285","12,741","12,730","13,075",13015.3,14103.8,12704.6,13537.4,13734.4,13425,15374.1,13471.8,12865.7,12774.5,12073.3
,,,,,,,,,,,,,,,,,,,,
,Total Surface Water Supplies,,,,"6,592",,,,,"7,146.50","7,677.20","4,582.60","3,836.70","3,676.30","5,784.70","8,424.40","4,904.50","2,852.70","1,877.00","1,211.60"
,,,,,,,,,,,,,,,,,,,,
,Total Surface + GW,,,,"11,529.80",,,,,"10,650.10","11,265.60","11,953.50","12,233.90","12,387.50","11,321.90","12,194.80","12,743.20","12,262.80","12,192.50","11,707.80"
,,,,,,,,,,,,,,,,,,,,
,"TL Precipitation, percent of average",,207%,94%,93%,87%,71%,86%,85%,120%,123%,50%,77%,71%,116%,166%,71%,52%,46%,62%
,,,,,,,,,,,,,,,,,,,,
,"TL Precipitation, annual ",,"27,306","13,298","12,693","11,564","10,021","12,137","11,964","16,939","17,134","7,031","10,724","9,945",16185,"21,340","9,201","6,670","5,887","7,941"
,1971-2000 annual avg precip (taf),"14,098",,,,,,,,,,,,,,,,,,
,1981-2010 annual avg precip (taf),"13,924",1998,1999,2000,2001,2002,2003,2004,,,,,,,,,,,
,1986-2015 30 yr avg precip (taf),"12,870",-163,"1,938.00","1,792.40","4,111.00","3,927.40","2,979.30","4,004.70",2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,Net Groundwater Extraction,,"1,743.40","2,506.80","2,502.40","2,621.40","2,909.50","2,628.60","2,840.10",106.3,162.7,"4,087.80","5,268.60","5,463.40","2,339.40","1,005.70",5697.3,7520.2,8539,8904
